Species,Catalog ID,library ID,Individual,Zooid,Reads examined,Reads aligned,Reads unaligned,Percent aligned
Bargmannia elongata,HISEQ2000-551-C9GMCACXX-1-ACTGAT,CMN119,specimen-3,Gonodendron female,14849527,12918085,1900805,86.99324227633647
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-1-ATCACG,CMN0067C,specimen-2,Gastrozooid developing,14666206,12932038,1671515,88.1757558839689
Bargmannia elongata,HISEQ2000-551-C9GMCACXX-1-CAGATC,CMN117,specimen-3,Gastrozooid yellow developing,14956891,12858419,2027670,85.96986499400177
Bargmannia elongata,HISEQ2000-551-C9GMCACXX-1-CGATGT,CMN115,specimen-3,Nectophore developing,17222433,13885854,3283107,80.62655258986928
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-1-GCCAAT,CMN0066C,specimen-2,Nectophore developing,21146274,18893591,2196363,89.34713983182097
Bargmannia elongata,HISEQ2000-551-C9GMCACXX-1-TGACCA,CMN116,specimen-3,Gastrozooid developing,17881679,16192139,1622478,90.55155838554086
Bargmannia elongata,HISEQ2000-551-C9GMCACXX-1-TTAGGC,CMN118,specimen-3,Gastrozooid white mature,15432464,13004602,2372662,84.26782657649485
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-ACTGAT,CMN125,specimen-3,Gonodendron male,15956214,10879117,4996956,68.18106726319915
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-ACTTGA,CMN121,specimen-3,Nectophore developing,15534249,14023070,1455829,90.27195328206726
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-ATCACG,CMN120,specimen-3,Pneumatophore,16324533,13644901,2600568,83.585245593243
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-ATTCCT,CMN126,specimen-3,Gonodendron female,16626835,11453964,5122962,68.888420436
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-CGTACG,CMN124,specimen-3,Gastrozooid mature,16690850,14949665,1666501,89.56802679312318
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-GCCAAT,CMN0066D,specimen-2,Nectophore developing,2772088,2479576,285110,89.44795403320529
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-GGCTAC,CMN123,specimen-3,Bract developing,18339931,16419665,1838408,89.52958983324419
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-2-TAGCTT,CMN122,specimen-3,Gastrozooid developing,17577365,15631195,1828624,88.92797640601991
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-3-ATCACG,CMN0067D,specimen-2,Gastrozooid developing,12192606,10762919,1377836,88.27414746281475
Diphyes dispar,HISEQ2000-551-C9GMCACXX-3-ATTCCT,CMN168,specimen-3,Gastrozooid developing,14976626,13475782,1245951,89.97875756528873
Apolemia lanosa,HISEQ2000-551-C9GMCACXX-3-CGATGT,CMN127,specimen-1,Pneumatophore,14659779,11927545,2686589,81.36237933736928
Diphyes dispar,HISEQ2000-551-C9GMCACXX-3-CGTACG,CMN167,specimen-3,Gastrozooid mature,15528015,13940820,1325476,89.77850678274073
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-3-GCCAAT,CMN0066E,specimen-2,Nectophore developing,17564300,15704787,1812844,89.4131106847412
Apolemia lanosa,HISEQ2000-551-C9GMCACXX-3-GTGAAA,CMN130,specimen-1,Gastrozooid mature,15444108,11735184,3570381,75.98486102272788
Apolemia lanosa,HISEQ2000-551-C9GMCACXX-3-TGACCA,CMN128,specimen-1,Nectophore developing,12384486,7456356,4679833,60.20723023951094
Apolemia lanosa,HISEQ2000-551-C9GMCACXX-3-TTAGGC,CMN129,specimen-1,Gastrozooid developing,16363573,13510510,2769117,82.56454748605331
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-ACAGTG,CMN132,specimen-1,Nectophore developing,20011469,11311744,8675793,56.526304990403254
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-ACTGAT,CMN138,specimen-1,Gonodendron female,15960452,13605143,2322331,85.24284274655881
