sequence_ids,species,zooid,blast_hit,GO_term,gene_tree
596698,Agalma elegans,Pneumatophore,P52758|UK114_HUMAN Ribonuclease UK114,GO:0016787;GO:0070314;GO:0005777;GO:0036041;GO:1902074;GO:0061157;GO:0005759;GO:0005829;GO:0050680;GO:0030324;GO:0042802;GO:0005634;GO:0001822;GO:0003729;GO:0007420;GO:0140098;GO:0046914;GO:0033993;GO:1901565;GO:0006402;GO:0090502,NA
543342,Agalma elegans,Pneumatophore,,NA,NA
613487,Agalma elegans,Pneumatophore,Q9H4G4|GAPR1_HUMAN Golgi-associated plant pathogenesis-related protein 1,NA,NA
643482,Agalma elegans,Pneumatophore,,NA,NA
522365,Agalma elegans,Pneumatophore,Q44297|ODH_ARTSC Opine dehydrogenase,NA,29446e73a6a7dd76673453abcae8a546
626618,Agalma elegans,Pneumatophore,Q9Z110|P5CS_MOUSE Delta-1-pyrroline-5-carboxylate synthase,GO:0004349;GO:0006561;GO:0005739;GO:0004350;GO:0017144;GO:0009506;GO:0005524;GO:0031967;GO:0016310;GO:0031090;GO:0019240;GO:0006592;GO:0005829;GO:0009507;GO:0042802;GO:0055114;GO:0050661;GO:0003723;GO:0006536;GO:0009555;GO:0009793;GO:0009266,NA
621492,Agalma elegans,Pneumatophore,,NA,NA
519294,Agalma elegans,Pneumatophore,Q5R8C0|PPA6_PONAB Lysophosphatidic acid phosphatase type 6,NA,c432a4e2ec4e2def3e89890ffc75229b
621729,Agalma elegans,Pneumatophore,Q9D4D4|TKTL2_MOUSE Transketolase-like protein 2,GO:0005093;GO:0016192;GO:0005737;GO:0050790;GO:0017137;GO:0043231;GO:0046901;GO:0006869;GO:0004326;GO:0005319;GO:0042626;GO:0055085,NA
588590,Agalma elegans,Pneumatophore,,NA,NA
535090,Agalma elegans,Pneumatophore,P31907|HOXX_BRADU Hydrogenase maturation factor HoxX,GO:0016742;GO:0009058;GO:0055114;GO:0003677;GO:0004488,eae676da20a46a6a26f88600301058f7
632818,Agalma elegans,Pneumatophore,Q9EQS0|TALDO_RAT Transaldolase,GO:0004801;GO:0006098;GO:0005737;GO:0005634;GO:0005975;GO:0016021,NA
613979,Agalma elegans,Pneumatophore,Q8HXX6|SAP3_MACFA Ganglioside GM2 activator,NA,NA
524276,Agalma elegans,Pneumatophore,,NA,NA
619953,Agalma elegans,Pneumatophore,Q44297|ODH_ARTSC Opine dehydrogenase,NA,29446e73a6a7dd76673453abcae8a546
600460,Agalma elegans,Pneumatophore,Q7QGL0|KLHDB_ANOGA Kelch-like protein diablo {ECO:0000250|UniProtKB:Q9VUU5},GO:0035914;GO:0003677;GO:0016021;GO:0048741;GO:0045214,NA
