"sequence_id"	"GO_term"
3315020	GO:0030544;GO:0051085;GO:0005789;GO:0071218;GO:0016021;GO:0004623;GO:0031965;GO:0030433;GO:0005509;GO:0005783;GO:0008168;GO:0003676;GO:0005576;GO:0050482;GO:0016042;GO:0006644;GO:0032259
3385156	GO:0004822;GO:0006428;GO:0017101;GO:0002161;GO:0106074;GO:0005829;GO:0070062;GO:0000049;GO:0005524;GO:0016020;GO:0051020;GO:0001649
3346928	GO:0010482;GO:0051219;GO:0005829;GO:0001836;GO:0019901;GO:0005634;GO:0045606;GO:0061436;GO:0042802;GO:0010839;GO:0008426;GO:0003334;GO:0005576;GO:0031424;GO:0045296;GO:0031982;GO:0005739;GO:0046827;GO:0008630;GO:0043154;GO:0030307;GO:0000079;GO:1900739;GO:1901030;GO:1903749;GO:0006977;GO:0071901;GO:1905477
3341485	GO:0005096;GO:0043547;GO:0000139;GO:0005912;GO:0005576;GO:0046872;GO:0048205;GO:0008289;GO:0016021;GO:0042157;GO:0006869;GO:0001745
3325596	GO:0003899;GO:0006351;GO:0005666;GO:0005813;GO:0003677;GO:0005654;GO:0003735;GO:0005829;GO:0005840;GO:0061484;GO:0016021;GO:0045087;GO:0051607;GO:0044419;GO:0032481;GO:0006412
3325595	GO:0042025;GO:0051726;GO:0016538;GO:0019901;GO:0044772;GO:0004693;GO:0071900;GO:0000307;GO:0005634;GO:0042098;GO:0003714;GO:0005829;GO:0070013;GO:0003677;GO:0046626;GO:0005623;GO:0017053;GO:0043025;GO:0030425;GO:0000122;GO:0048471;GO:0000786;GO:0045860;GO:0061074;GO:0016020;GO:0070050;GO:0042127;GO:0048593;GO:0051301;GO:0006468;GO:0030213;GO:0051716;GO:0044843;GO:0043434;GO:0023052;GO:0007154;GO:0007616;GO:0010165;GO:0008344;GO:0009749;GO:0006950;GO:0006949;GO:0043066;GO:0006334;GO:0007420
3309242	GO:0004571;GO:1904154;GO:0016235;GO:0097466;GO:0044322;GO:0016020;GO:0005509;GO:0036510;GO:0004100;GO:0035977;GO:0051787;GO:0005471;GO:0005230;GO:0005525;GO:0003924;GO:0015866;GO:0006986;GO:0015867;GO:0034220;GO:0007165
3363164	GO:0000439;GO:0006289;GO:0008270;GO:0005675;GO:0006351;GO:0003676;GO:0004146;GO:0016021;GO:0006357;GO:0046654;GO:0001120;GO:0035556;GO:0055114
3363166	GO:0008097;GO:0006412;GO:0005840;GO:0003735;GO:0005634;GO:0030983;GO:0005829;GO:1990904;GO:0005524;GO:0016021;GO:0006298;GO:0000027
3328515	GO:0017182;GO:0016740;GO:0005737;GO:1900247;GO:0016021;GO:0004222;GO:0005615;GO:0031227;GO:0044249;GO:0030574;GO:0030198;GO:0097502;GO:0006508
3369983	GO:0008417;GO:0036065;GO:0032580;GO:0006486;GO:0140103;GO:0016021
3327735	GO:0016491;GO:0005811;GO:0055114;GO:0030496;GO:0009247;GO:0016021;GO:0005739;GO:0005886;GO:0002576;GO:0031093;GO:0005576;GO:0005634
3348395	GO:0036374;GO:0006751;GO:0102953;GO:0103068;GO:0006508
3373984	GO:0042626;GO:0055085;GO:0016021;GO:0016887;GO:0000324;GO:0015893;GO:0140352;GO:0005886;GO:0005524;GO:0008272;GO:0015116;GO:0022853
3345847	GO:0004135;GO:0005980;GO:0016234;GO:0005634;GO:0004134;GO:0005737;GO:0005978;GO:0005887;GO:0031593;GO:0030247;GO:0102500;GO:0004930;GO:0003700;GO:0003677;GO:0007186;GO:0006355
