"sequence_id"	"GO_term"
1711285	GO:0005200;GO:0005874;GO:0007017;GO:0007010;GO:0003924;GO:0005525;GO:0000278;GO:0097711;GO:1905792;GO:0005737;GO:1905789;GO:0043209;GO:0043025;GO:1990791;GO:0042267;GO:0043312;GO:0043005;GO:0045298;GO:0031983;GO:0050976;GO:0003725;GO:0070062;GO:0007638;GO:0042288;GO:0044839;GO:0005623;GO:0031115;GO:0051082;GO:0005509;GO:0010389;GO:0005929;GO:0097708;GO:0012505;GO:0070013;GO:0005634;GO:0097435;GO:0044419
1534802	GO:0016592;GO:0003712;GO:0006357;GO:0016021
1686606	GO:0003723
1537298	GO:0015074;GO:0003676;GO:0016021;GO:0004190;GO:0008270;GO:0006508;GO:0005509;GO:0003964;GO:0006278
1607420	GO:0015165;GO:0090481;GO:0000139;GO:0005783;GO:0005654;GO:0098656;GO:0015711;GO:0016021;GO:0031300
1613529	GO:0004471;GO:0055114;GO:0009507;GO:0006108;GO:0051287;GO:0006090;GO:0005739;GO:0046872;GO:0005829;GO:0016021;GO:0001172;GO:0004473;GO:0090501;GO:0008948;GO:0140098;GO:0016779;GO:0004518;GO:0005524;GO:0003723
1675814	GO:0005634;GO:0032929;GO:0043522;GO:0042985;GO:0017154;GO:0070013;GO:0006357;GO:2001234;GO:0005667;GO:0043232;GO:0002116;GO:0007346;GO:0005737;GO:0048522;GO:0005887;GO:0010628;GO:0010557;GO:0051173;GO:0042254;GO:1902287;GO:0006974;GO:0043542;GO:0050770;GO:0007162;GO:0051962;GO:0030334;GO:0043087;GO:0008360
1645939	GO:0009052;GO:0004751;GO:0043231;GO:0042802;GO:0006014
1692832	GO:0015074;GO:0008270;GO:0016021;GO:0003676;GO:0004190;GO:0006508
1692831	GO:0003964;GO:0006278;GO:0004190;GO:0006508;GO:0008270;GO:0003676;GO:0015074
1608216	GO:0015074;GO:0003676
1631931	GO:0030032;GO:0003779;GO:0015629;GO:0046872;GO:0005654;GO:0007010;GO:0044877;GO:0072499
1602499	GO:0003707;GO:0043401;GO:0042025;GO:0043565;GO:0008270;GO:0003700;GO:0005634;GO:0070013;GO:0001012;GO:0005813;GO:0006355;GO:0003690;GO:0070365;GO:0001102;GO:0005829;GO:0005504;GO:0016021;GO:0035326;GO:0003682;GO:0042803;GO:0003323;GO:0005102;GO:0008898;GO:0050796;GO:0004930;GO:0055088;GO:1990798;GO:1903508;GO:0009617;GO:0010628;GO:0023019;GO:0060395;GO:0010470;GO:0009749;GO:0030308;GO:0042752;GO:0007548;GO:0007596;GO:0042593;GO:0055081;GO:0019216;GO:0008285;GO:0006805;GO:0006591;GO:0044419;GO:1903507;GO:2000113;GO:0010629;GO:0006629;GO:0033528;GO:0009086;GO:0007186
1616218	GO:0004674;GO:0006468;GO:0097123;GO:0097135;GO:0097134;GO:0097124;GO:0000806;GO:0005524;GO:0000805;GO:0000781;GO:0015030;GO:0032298;GO:0000082;GO:0005813;GO:0051726;GO:0007099;GO:0008284;GO:0005768;GO:0000793;GO:0097472;GO:0005667;GO:0035173;GO:0030332;GO:0019904;GO:0060968;GO:0000287;GO:0018209;GO:0007265;GO:0003697;GO:0003924;GO:0044877;GO:0010005;GO:0005525;GO:0000122;GO:0016570;GO:0000228;GO:0032993;GO:0045893;GO:0005829;GO:0009574;GO:0005886;GO:0006813;GO:0006950;GO:0098725;GO:0042023;GO:0010444;GO:0010235;GO:0008356;GO:2000241;GO:0051783;GO:0009555;GO:0009793;GO:0009628;GO:0051591;GO:0032869;GO:0051321;GO:0006259
1532183	GO:0004712;GO:0007093;GO:0051304;GO:0005524;GO:0006468
1636584	GO:0016874;GO:1905202;GO:0006552;GO:0005759;GO:0004525;GO:0003723;GO:0005634;GO:0016021;GO:0006397;GO:0090502
1527675	GO:0003964;GO:0006278;GO:0005874;GO:0004519;GO:0090305;GO:0005886;GO:0005200;GO:0003676;GO:0016021;GO:0003924;GO:0005737;GO:0005525;GO:0022857;GO:0007017;GO:0007010;GO:0015074;GO:0006310;GO:0008270;GO:0055085;GO:0009116
1734804	GO:0071001;GO:0000398;GO:0017070;GO:0071005;GO:0030621;GO:0015030;GO:0016607;GO:0046540;GO:0048920;GO:0048919;GO:0060041;GO:0043009
1645641	GO:0004111;GO:0046314;GO:0005739;GO:0005524;GO:0016310;GO:0045259;GO:0019866;GO:0006464;GO:0004672;GO:0004054
1695435	GO:0005509;GO:0060285;GO:0005930;GO:0043014;GO:0007052;GO:0000281;GO:0072686;GO:0004672;GO:0005524;GO:0006468;GO:0004386
1583158	GO:0003958;GO:0005789;GO:0055114;GO:0006723;GO:0010181;GO:0005783;GO:0050661;GO:0050660;GO:0009725;GO:0016021;GO:0005829;GO:0016709
1608642	GO:0016846;GO:0031508;GO:0051233;GO:0030496;GO:0000776;GO:0046872;GO:0032467;GO:0001667;GO:0005654;GO:0005829;GO:0033044;GO:0000779;GO:0016021;GO:0007049;GO:0051301
1728812	GO:0071564;GO:0071565;GO:0016514
1495529	GO:0008520;GO:0015882;GO:0009925;GO:0016324;GO:0070904;GO:0016021;GO:0070837;GO:0043229;GO:0005737;GO:0005903;GO:0033300;GO:0070062;GO:0030324;GO:0007420;GO:0031226;GO:0035725;GO:0015205;GO:0005515;GO:0009636;GO:0019852;GO:0015851;GO:0006139
1604086	GO:0051082;GO:0035889;GO:0048471;GO:0006457;GO:0005783;GO:0005524;GO:0001666;GO:0030496;GO:0050830;GO:0005789;GO:0005829;GO:0070013;GO:0050750;GO:0032991;GO:0005886;GO:0019903;GO:0003723;GO:0044419;GO:0030433;GO:0031247;GO:0071318;GO:1903513;GO:0032527;GO:0043066;GO:0043666
