Orthogroup,class,Common_blast,species,tissue,expression,Gene,gene_tree
OG0007414,SVG,Q8BID8|FXL14_MOUSE F-box/LRR-repeat protein 14,Agalma elegans,PalmatGasmat,0.5899610477494583,632742,NA
OG0003434,SVG,Q9ERC5|OTOF_RAT Otoferlin,Agalma elegans,PalmatGasmat,0.7084208571647654,524287,NA
OG0003496,SVG,Q9NZM1|MYOF_HUMAN Myoferlin,Agalma elegans,PalmatGasmat,0.5143830194072827,522404,643866497a0554dbf9d57028c53af567
OG0003498,SVG,Q9JHW1|CBPD_RAT Carboxypeptidase D,Agalma elegans,PalmatGasmat,0.6862784578142345,556225,NA
OG0003662,SVG,Q96N67|DOCK7_HUMAN Dedicator of cytokinesis protein 7,Agalma elegans,PalmatGasmat,0.7543034140244728,520188,b0a7c3ed8dac1725dd9d518ec9410e00
OG0003663,SVG,Q96N67|DOCK7_HUMAN Dedicator of cytokinesis protein 7,Agalma elegans,PalmatGasmat,0.6687066468778453,520195,b0a7c3ed8dac1725dd9d518ec9410e00
OG0003442,SVG,Q5ZMH1|SEPT2_CHICK Septin-2,Agalma elegans,PalmatGasmat,0.9618027282753054,519242,NA
OG0003525,SVG,P92177|1433E_DROME 14-3-3 protein epsilon,Agalma elegans,PalmatGasmat,0.8889212562217839,605424,NA
OG0003532,SVG,P20072|ANXA7_BOVIN Annexin A7,Agalma elegans,PalmatGasmat,0.9814102413215243,534079,NA
OG0003559,SVG,F1NTD6|ASCC3_CHICK Activating signal cointegrator 1 complex subunit 3,Agalma elegans,PalmatGasmat,0.7897145758684185,517876,61ac04617be328be10be9c65143dfc9e
OG0003580,SVG,Q9VT28|FRY_DROME Protein furry,Agalma elegans,PalmatGasmat,0.7128577075320678,537458,NA
OG0004262,SVG,Q95116|TSP2_BOVIN Thrombospondin-2,Agalma elegans,PalmatGasmat,0.5240568673931697,610584,NA
OG0005369,SVG,Q8N394|TMTC2_HUMAN Transmembrane and TPR repeat-containing protein 2,Agalma elegans,PalmatGasmat,0.7870802730779541,639923,NA
OG0004038,SVG,Q5BJL5|SBNO1_RAT Protein strawberry notch homolog 1,Agalma elegans,PalmatGasmat,0.7846615463261969,580816,101ccb732136e6f36e6b62e905d5af17
OG0003647,SVG,P55013|S12A2_SQUAC Solute carrier family 12 member 2,Agalma elegans,PalmatGasmat,0.8248224819445187,538596,NA
OG0003660,SVG,Q5TYW4|NBAS_DANRE Neuroblastoma-amplified sequence,Agalma elegans,PalmatGasmat,0.8734180866469429,593150,0c10682fbe63478d0031bee807fdf73f
OG0003690,SVG,Q6UPR8|ERMP1_RAT Endoplasmic reticulum metallopeptidase 1 {ECO:0000305},Agalma elegans,PalmatGasmat,0.5351435331988509,518486,fd92d8296891a1cbe5732f2ce87124f1
OG0003696,SVG,Q9DG67|RA54B_CHICK DNA repair and recombination protein RAD54B,Agalma elegans,PalmatGasmat,0.6774666521016072,535624,NA
OG0003698,SVG,Q9Y620|RA54B_HUMAN DNA repair and recombination protein RAD54B,Agalma elegans,PalmatGasmat,0.6765630358036495,535623,NA
OG0003697,SVG,P70270|RAD54_MOUSE DNA repair and recombination protein RAD54-like,Agalma elegans,PalmatGasmat,0.6399048832592643,544019,NA
OG0003730,SVG,Q69Z89|RADIL_MOUSE Ras-associating and dilute domain-containing protein,Agalma elegans,PalmatGasmat,0.7811128921090003,643306,a6e35c2c522ab0426b20f1aa2b80beb7
OG0004565,SVG,Q9BXB5|OSB10_HUMAN Oxysterol-binding protein-related protein 10,Agalma elegans,PalmatGasmat,0.710983551789716,535662,2af4a60c48cadd3c9790d93e86fe3749
OG0003549,SVG,Q9DEI1|PRKDC_XENLA DNA-dependent protein kinase catalytic subunit,Agalma elegans,PalmatGasmat,0.8108850717339846,545306,ca12fd5992ad86ecf6fc62a632058f9c
OG0007454,SVG,P46088|GST_NOTSL Glutathione S-transferase,Agalma elegans,PalmatGasmat,0.9712782549859971,552408,66921539e071b716ee2612554dd5ea6d
OG0003734,SVG,Q9R1K5|FZR1_MOUSE Fizzy-related protein homolog,Agalma elegans,PalmatGasmat,0.830943842533449,629706,NA
OG0003742,SVG,Q14008|CKAP5_HUMAN Cytoskeleton-associated protein 5,Agalma elegans,PalmatGasmat,0.6109935592068869,642497,NA
