"sequence_id"	"GO_term"
553660	GO:0007520;GO:0072114
553191	GO:0042025;GO:0016538;GO:0044772;GO:0000079;GO:0019901;GO:0000307;GO:0004672;GO:0005634;GO:0019904;GO:0006468;GO:0044839;GO:0051301;GO:0005737;GO:0044843;GO:0070013;GO:0007265;GO:0006275;GO:0016570;GO:0045893
561158	GO:0005662;GO:0043518;GO:0071013;GO:1900087;GO:0001650;GO:0005684;GO:0016607;GO:0031965;GO:0043066;GO:0034504;GO:0000398;GO:0000974;GO:0080008
534759	GO:0004252;GO:0006508;GO:0009368;GO:0005759;GO:0044257;GO:0051117;GO:0004176;GO:0005794;GO:0016021;GO:0042802;GO:0030246;GO:0008612;GO:0016192;GO:0005975
534756	GO:0052655;GO:0009082;GO:0005739;GO:0052656;GO:0052654;GO:0008385;GO:0005515;GO:0070013;GO:0005094;GO:0071013;GO:0006573;GO:0006550;GO:0006551;GO:0016020;GO:1990830;GO:0003723;GO:0010817;GO:1901607;GO:0007266;GO:0043123;GO:0016192;GO:0050790
534757	GO:0004373;GO:0005978;GO:0005737;GO:0042802;GO:0005509;GO:0045819;GO:0061723;GO:0071329;GO:0009267;GO:0000956;GO:0000398
635619	GO:0070121;GO:0097344;GO:0007368;GO:0005656;GO:0030174;GO:0006364;GO:0005730;GO:0016021
534750	GO:0016021
537082	GO:0006486;GO:0000139;GO:0030246;GO:0016757;GO:0005112;GO:0016021;GO:0140096;GO:0018210;GO:0008593
527358	GO:0015935;GO:0003735;GO:0006412;GO:0003723;GO:0022626;GO:0000028;GO:0016021
643018	GO:0016021
651041	GO:0007229;GO:0004222;GO:0005794;GO:0006509;GO:0016021;GO:0017124;GO:0005576;GO:0090729;GO:0007338
611316	GO:0003964;GO:0006278;GO:0008270;GO:0003887;GO:0003676;GO:0015074
611314	GO:0008168;GO:0032259
568081	GO:0004672;GO:0006468;GO:0016021;GO:0005524
651103	GO:0003824;GO:0001676;GO:0006413
619153	GO:1902533;GO:0005164;GO:0045179;GO:0008270;GO:0042981;GO:0043122;GO:0004842;GO:0038061;GO:1901222;GO:0046328;GO:0032147;GO:0003384;GO:0007370;GO:0046528;GO:0045167;GO:0034332;GO:0050829;GO:0001654;GO:0043068;GO:0070534;GO:0033209;GO:0044419;GO:0007391
