"sequence_id"	"GO_term"
1382801	GO:0015074;GO:0003676
1435291	GO:0003983;GO:0006011;GO:0055120;GO:0030017;GO:0005783;GO:0003743;GO:0055093;GO:0005829;GO:0005977;GO:0010494;GO:0005885;GO:0051274;GO:0031154;GO:0006077;GO:0000045;GO:0034314;GO:0005992;GO:0030243;GO:0006413
1295092	GO:0004721;GO:0006470;GO:0005634;GO:0005515;GO:0070013;GO:0043232;GO:0016021;GO:0009733
1295094	GO:0008374;GO:0016021;GO:0034435;GO:0033344;GO:0005789;GO:0008203;GO:0005201;GO:0015485;GO:0000062
1379955	GO:0016021;GO:0003676
1384674	GO:0005813
1428319	GO:0003727;GO:0006417;GO:0043186;GO:0003730;GO:0048027;GO:2000196;GO:1905936;GO:0005829;GO:2000623;GO:0060282;GO:0030716;GO:0034249;GO:0032269;GO:2000113;GO:0010629
1295091	GO:0003735;GO:0006412;GO:0005840
1442285	GO:0052857;GO:0005739;GO:0072524;GO:0052856;GO:0046872;GO:0046184;GO:0000166;GO:0005829;GO:1901617;GO:0009507;GO:0016021;GO:0004733;GO:0006732;GO:0042364;GO:0019637;GO:0050662;GO:0051188;GO:0017144;GO:0097367;GO:0043168;GO:0006796;GO:0016874;GO:0055114;GO:0019438;GO:0018130;GO:1901362;GO:0008144;GO:0044271;GO:1901566;GO:0055086;GO:0006734;GO:0006739;GO:1901135
1484660	GO:0005856;GO:0003735;GO:0006412;GO:0016021;GO:0005840
1304742	GO:1903568;GO:0042802;GO:0005829;GO:0044877
1284633	GO:0016787;GO:0016021
1408348	GO:0005484;GO:0061025;GO:0005801;GO:0016192;GO:0006886;GO:0005623;GO:0042803;GO:0016021;GO:0047485;GO:0031982;GO:0005829;GO:0035167;GO:0007112;GO:0000281;GO:0006878;GO:0007283;GO:0000902;GO:0009306;GO:0090166;GO:1903358;GO:0045732;GO:0016482
1425072	GO:0005509;GO:0000776
1310098	GO:0005085;GO:0032402;GO:0030027;GO:0005623;GO:0070121;GO:0036064;GO:0005813;GO:0017137;GO:0005829;GO:0042802;GO:0005634;GO:0003700;GO:0097711;GO:0003677;GO:0006893;GO:0006612;GO:0033365;GO:0006355
1429989	GO:0005815;GO:0005737;GO:0016021
1310093	GO:0000151;GO:0016567;GO:0008270;GO:0005737;GO:0004842;GO:0042981;GO:0006511
1334915	GO:0070121;GO:0005929;GO:0008289;GO:0060271;GO:0007399;GO:0042953
1310097	GO:0000470;GO:0019843;GO:0005730;GO:0000027;GO:0005654;GO:0003727;GO:0005515;GO:0030687;GO:1902570;GO:1901796
1345296	GO:0003964;GO:0006278;GO:0015629;GO:0051015;GO:0016021;GO:0003690;GO:0046872;GO:0005198;GO:0007155;GO:0009235;GO:0006355
1467715	GO:0042578;GO:2001135;GO:0045334;GO:0046856;GO:0005769
1467714	GO:0042578;GO:0031161;GO:0045334;GO:2001135;GO:0042532;GO:0005769;GO:0001921;GO:0055037;GO:0003299;GO:0005905;GO:0014887;GO:0043025;GO:0003300;GO:0030425;GO:0042803;GO:0030424;GO:0048681;GO:0098590;GO:0043231;GO:0008344;GO:0046856;GO:0016021;GO:0048015;GO:2000145;GO:0072583
1351639	GO:0035556
1467710	GO:0032783;GO:0070016;GO:0060029;GO:0006355;GO:0008013;GO:0060028;GO:0001228;GO:0000977;GO:0014812;GO:0003682;GO:0045171;GO:0016604;GO:0042074;GO:0031016;GO:0008134;GO:0030111;GO:0007507;GO:0060770;GO:0060215;GO:0060216;GO:0030308;GO:1903508;GO:0010628;GO:1903507;GO:2000113;GO:0010629;GO:0006368;GO:0006915;GO:0035556
1335060	GO:0006857;GO:0022857;GO:0016021;GO:0055085;GO:0098657;GO:0015672
1308940	GO:0022857;GO:0055085;GO:0016021
1364292	GO:0030176;GO:0071586;GO:0004197;GO:0004222;GO:0005783
1364293	GO:0006807;GO:0000257
1442862	GO:0035269;GO:0000030;GO:0016021;GO:0006396
1465717	GO:0016231;GO:0006517;GO:0005829;GO:0006044;GO:0005634;GO:0005623;GO:0102571;GO:0102166;GO:0005739;GO:0102167;GO:0008080;GO:0016020;GO:0010616;GO:0060051;GO:0046060;GO:0004415;GO:0060124;GO:0051901;GO:0005515;GO:0046326;GO:0010524;GO:0070265;GO:0032024;GO:0043243;GO:0031343;GO:0051054;GO:0045862;GO:0016573;GO:0006612;GO:0006516;GO:0007568;GO:0006493;GO:0048545;GO:0016032
1299159	GO:0015074;GO:0003676
1324363	GO:0003964;GO:0006278;GO:0016021
1310277	GO:0102965;GO:0006629;GO:0042579;GO:0080019;GO:0055114;GO:0016021;GO:0035336;GO:0008374;GO:0003995;GO:0050660
1310276	GO:0007034;GO:0010008;GO:0047485;GO:0044877;GO:0007175;GO:0061952;GO:0005770;GO:0036452;GO:0005623;GO:0007080;GO:0098796;GO:0016021;GO:0006997;GO:0039702;GO:0042176;GO:0015031
1377081	GO:0016706;GO:0006278;GO:0016021;GO:0090305;GO:0003964;GO:0008168;GO:0055114;GO:0004519;GO:0004185;GO:0003676;GO:0006508
1390727	GO:0016021
1438069	GO:0001540;GO:0097190;GO:0005654;GO:0016021;GO:0004930;GO:0008061;GO:0007186;GO:0031226;GO:0005576;GO:0022857;GO:0034719;GO:0055085
1339892	GO:0072659;GO:0005829;GO:0005886;GO:0015629;GO:0046854;GO:0016021
1438067	GO:0006986;GO:0016021;GO:0003723;GO:0031625;GO:0019915;GO:0016758;GO:0006397;GO:0030433
1456659	GO:0001737;GO:0008270;GO:0030424;GO:1902669;GO:0042067;GO:0015629;GO:0030951;GO:0005886;GO:0045773;GO:0098930;GO:0005737;GO:0009948
1380631	GO:0008689;GO:0006744;GO:0031314;GO:0008425;GO:0032259;GO:0004395;GO:0061543
1336442	GO:0005832;GO:0051082;GO:0006457;GO:0005524;GO:1904874;GO:0090670;GO:0002199;GO:0044297;GO:1904851;GO:0005874;GO:0051973;GO:0032212;GO:0007339;GO:0044183;GO:0031625;GO:0051131;GO:1901998;GO:0050821
1444421	GO:0003964;GO:0006278;GO:0016021;GO:0046872
1370830	GO:0004420;GO:0015936;GO:0005789;GO:0008299;GO:0005783;GO:0050661;GO:0042282;GO:0031903;GO:0005777;GO:0043168;GO:0016021;GO:0005515;GO:0055114;GO:0009888;GO:0016126;GO:0032501;GO:0016477;GO:0007610;GO:0008203;GO:1900222;GO:0048864;GO:0071695;GO:1904888;GO:1902653;GO:0042177;GO:0043407;GO:0061061;GO:0050709;GO:0050918;GO:0009653;GO:0009416;GO:0019953;GO:0070887;GO:0046579;GO:0007548
1448372	GO:0003964;GO:0006278;GO:0015074;GO:0008270;GO:0003676;GO:0016787
1363467	GO:0004397;GO:0019557;GO:0005737;GO:0043606;GO:0097708;GO:0012505;GO:0060218;GO:0006886
1325588	GO:0048318;GO:0035252;GO:0005788;GO:0045747;GO:0018242;GO:0035251;GO:0005829;GO:0048339;GO:0010470;GO:0001756;GO:0060537;GO:0016021;GO:0072358;GO:0007369
1325583	GO:0003896;GO:0006269;GO:0005658;GO:0003697;GO:0046872;GO:0003700;GO:0035556;GO:0016021;GO:0006355
1483100	GO:0005856;GO:0005524;GO:1904000;GO:0030536;GO:0030033;GO:0005737;GO:0002119;GO:0005902;GO:0035148;GO:0042910;GO:0015297;GO:0071944;GO:0016021;GO:0008270;GO:0016491;GO:0042908;GO:0055085;GO:0055114
1337243	GO:0016021
1485131	GO:0004252;GO:0006508;GO:0016021;GO:0005789;GO:0042058;GO:0050708
1416164	GO:0003924;GO:0032482;GO:0030027;GO:0005525;GO:0030054;GO:0030139;GO:1902463;GO:0035767;GO:0032456;GO:0005794;GO:0055037;GO:0045202;GO:0099503;GO:0043025;GO:0071532;GO:0032794;GO:0030133;GO:0034236;GO:0010008;GO:0003677;GO:0043005;GO:0030136;GO:0061865;GO:0005798;GO:0072659;GO:0016328;GO:0032869;GO:0031984;GO:0048210;GO:0017157;GO:0030659;GO:0005769;GO:0006904;GO:0005829;GO:0070062;GO:0008582;GO:0005770;GO:0044795;GO:0019897;GO:0016021;GO:1901888;GO:0006886;GO:0010737;GO:1902647;GO:0097368;GO:0009306;GO:0070830;GO:0030866;GO:0001881;GO:0031175;GO:1904951;GO:0001525;GO:0046326;GO:0043687;GO:0042593;GO:0051726
1416163	GO:0005929;GO:0042073;GO:0008022;GO:0004674;GO:0044292;GO:0030992;GO:0005815;GO:0043167;GO:0016491;GO:0042733;GO:0070613;GO:0003677;GO:0032559;GO:1905515;GO:0001947;GO:0001841;GO:0050680;GO:0008144;GO:0007224;GO:0032838;GO:0009953;GO:0006468;GO:0055114
1416160	GO:0070403;GO:0006631;GO:0003857;GO:0055114
1317511	GO:0003755;GO:0000413;GO:0016020;GO:0012505;GO:0005509;GO:0005528;GO:0005773;GO:0006457;GO:0005829;GO:0050662;GO:0070013;GO:0009620;GO:0071391;GO:0009536;GO:0032991;GO:0044419
1317513	GO:0036459;GO:0016579;GO:0005829;GO:0016021;GO:0061815;GO:0061578;GO:0003700;GO:0003677;GO:0006511;GO:0055090;GO:0008340;GO:0031098;GO:0061060;GO:0045088;GO:0006979;GO:0006355
1388897	GO:0006357;GO:0003700;GO:0005747;GO:0008137;GO:0043565;GO:0005634;GO:0032981;GO:0015990;GO:0009060
1396372	GO:0022857;GO:0055085;GO:0016021;GO:0016765;GO:0006820
