"sequence_id"	"GO_term"
373335	GO:0015934;GO:0003735;GO:0006412;GO:0003723;GO:0005761;GO:0098798;GO:0042255;GO:0005743;GO:0140053;GO:0043624
325064	GO:0102756;GO:0006633;GO:0016021;GO:0102338;GO:0102336;GO:0005789;GO:0102337;GO:0009922;GO:0005783;GO:0031300;GO:0034515;GO:0008540;GO:0000038;GO:0030148;GO:0005634;GO:0033559;GO:0035338;GO:0001676;GO:0043161
334811	GO:0003964;GO:0006278;GO:0070652;GO:0004672;GO:0000139;GO:0015165;GO:0003676;GO:0016021;GO:0005524;GO:0051225;GO:0046872;GO:0006468;GO:0090481
361340	GO:0016887;GO:0006812;GO:0016021;GO:0005623;GO:1990816;GO:0005524;GO:0072503;GO:0016324;GO:0055074;GO:0000329;GO:0006875;GO:0046872;GO:0007626;GO:0043009;GO:0030170;GO:0055069;GO:0055071;GO:0003676;GO:0015074;GO:0006520
384067	GO:0090222;GO:0000242;GO:0019902;GO:0071539;GO:0005829;GO:0051298;GO:0090307;GO:0010923;GO:0009617;GO:0044419
310021	GO:0008289
352000	GO:0003755;GO:0000413;GO:0071013;GO:0016604;GO:0016018;GO:0008380;GO:0006397
381659	GO:0019843;GO:0006412;GO:0005840;GO:0003735;GO:0000822;GO:0005829;GO:1990904;GO:0003743;GO:0005856;GO:0003729;GO:0005774;GO:0031012;GO:0016787;GO:0005852;GO:0030036;GO:0007275
359961	GO:0008168;GO:0032259;GO:0005654;GO:0090646;GO:0015629;GO:0005739;GO:0000049;GO:0006400;GO:0005730;GO:0140101;GO:0005829;GO:0044260
359962	GO:0002178;GO:0018231;GO:0005549;GO:0019706;GO:0018345;GO:0016021;GO:0004984;GO:0050911;GO:0006612;GO:0007165
362697	GO:0032217;GO:0032218;GO:0005887;GO:0062124;GO:0005634;GO:0007605;GO:0016324;GO:0005515;GO:0034605;GO:0012505;GO:0005737;GO:0031967;GO:0031090;GO:0006771
362692	GO:0046983;GO:0055114;GO:0005758;GO:0050660;GO:1902510;GO:0045041;GO:0006919;GO:0016491;GO:0005829;GO:0070059;GO:0005634;GO:0051402;GO:0016021;GO:0033108;GO:0003677
361003	GO:0004386;GO:0005524;GO:0003676
325209	GO:0006493;GO:0016757;GO:0048471;GO:0005789;GO:0005747;GO:0004722;GO:0005634;GO:0040024;GO:0045475;GO:0016021;GO:0009266;GO:0019915;GO:0007029;GO:0005977;GO:0045743;GO:0006470;GO:0000003;GO:0035220;GO:0006120;GO:0010468
330517	GO:1990817;GO:0048255;GO:0005634;GO:0005737
330516	GO:0016021
380525	GO:0000463;GO:0022625;GO:0003735;GO:0003723;GO:0016787;GO:0051726
380299	GO:0004222;GO:0006508;GO:0016020;GO:0018996;GO:0008270;GO:0010951;GO:0004867;GO:0030246;GO:0005509;GO:0005044;GO:0006897
329982	GO:0005525;GO:0051301;GO:0008021;GO:0017157;GO:0030054;GO:0022402;GO:0031105;GO:0005940;GO:0034613;GO:0032153;GO:0015630;GO:0003924;GO:0045572;GO:0060090;GO:0070938;GO:0031625;GO:0060271;GO:0045171;GO:0008017;GO:0098590;GO:0042803;GO:0043065;GO:0003779;GO:0006915;GO:0000278
330519	GO:0000398;GO:0050681;GO:0071005;GO:0071013;GO:0005682;GO:0016607;GO:0003713;GO:0046540;GO:0043021;GO:0003723;GO:0045944;GO:0022618;GO:0006403;GO:0030247;GO:0004553;GO:0032299;GO:0016020;GO:0005975
350717	GO:0005581;GO:0005201;GO:0030198;GO:0005576;GO:0048589;GO:0008746;GO:0016021;GO:0048856;GO:0016049;GO:0042060;GO:0120036;GO:0030154;GO:0006935;GO:0006928;GO:0032501;GO:1902600;GO:0055114
315010	GO:0003995;GO:0006635;GO:0005739;GO:0050660;GO:0070013;GO:0005829;GO:0051793
342310	GO:0008138;GO:0035335;GO:0005737;GO:0004725;GO:0000188;GO:0033549
316995	GO:0022857;GO:0055085;GO:0016021;GO:0003676
