"Busco id"	Status	Sequence	Score	Length
5951at33208	Complete	Agalma_elegans@635436	4201.7	2010
9639at33208	Complete	Agalma_elegans@560762	1185.7	696
13816at33208	Complete	Agalma_elegans@589953	1638.3	1511
14776at33208	Complete	Agalma_elegans@590939	1822.9	1324
16244at33208	Complete	Agalma_elegans@594160	1735.9	949
40200at33208	Complete	Agalma_elegans@542204	659.2	584
45934at33208	Complete	Agalma_elegans@644377	987.6	877
49474at33208	Complete	Agalma_elegans@526816	1517.7	1202
50756at33208	Complete	Agalma_elegans@516961	1260.9	1089
56573at33208	Complete	Agalma_elegans@573896	1271.6	920
57158at33208	Complete	Agalma_elegans@628856	1475.2	849
63697at33208	Complete	Agalma_elegans@523396	1929.1	1007
64435at33208	Complete	Agalma_elegans@535097	249.8	405
65302at33208	Complete	Agalma_elegans@554416	1401.1	973
66018at33208	Complete	Agalma_elegans@535667	1510.0	863
75406at33208	Complete	Agalma_elegans@641786	434.9	445
76852at33208	Fragmented	Agalma_elegans@544362	361.1	423
84980at33208	Complete	Agalma_elegans@609172	885.1	667
88053at33208	Complete	Agalma_elegans@599735	443.4	555
92367at33208	Complete	Agalma_elegans@556491	335.3	485
99614at33208	Complete	Agalma_elegans@545648	1349.7	961
99987at33208	Complete	Agalma_elegans@641028	891.6	733
102804at33208	Complete	Agalma_elegans@554894	1262.7	898
103854at33208	Fragmented	Agalma_elegans@621232	252.1	224
107151at33208	Complete	Agalma_elegans@649973	1293.3	783
107574at33208	Complete	Agalma_elegans@542872	218.3	386
108764at33208	Complete	Agalma_elegans@529404	377.3	581
109109at33208	Complete	Agalma_elegans@611715	673.1	370
111730at33208	Complete	Agalma_elegans@559975	774.0	577
111746at33208	Complete	Agalma_elegans@564806	412.5	410
115878at33208	Complete	Agalma_elegans@621490	452.9	411
118209at33208	Complete	Agalma_elegans@546789	1572.7	856
119252at33208	Complete	Agalma_elegans@635701	786.9	548
121127at33208	Complete	Agalma_elegans@629323	514.5	680
123923at33208	Complete	Agalma_elegans@616703	294.9	580
124302at33208	Complete	Agalma_elegans@611136	835.2	674
127766at33208	Complete	Agalma_elegans@538849	768.5	639
129179at33208	Complete	Agalma_elegans@650362	757.3	551
130245at33208	Complete	Agalma_elegans@642279	547.5	408
130256at33208	Complete	Agalma_elegans@644919	722.2	573
131349at33208	Complete	Agalma_elegans@603203	1419.9	903
131848at33208	Complete	Agalma_elegans@618599	655.9	526
132087at33208	Complete	Agalma_elegans@579833	875.0	767
134492at33208	Complete	Agalma_elegans@529528	1030.6	749
135294at33208	Complete	Agalma_elegans@629290	631.2	492
137383at33208	Complete	Agalma_elegans@616851	773.4	656
139188at33208	Complete	Agalma_elegans@609338	457.2	413
143619at33208	Complete	Agalma_elegans@605153	331.4	313
143997at33208	Complete	Agalma_elegans@643109	452.6	347
146671at33208	Complete	Agalma_elegans@521213	926.6	762
147873at33208	Complete	Agalma_elegans@628691	900.7	506
148067at33208	Complete	Agalma_elegans@603261	501.5	578
148325at33208	Complete	Agalma_elegans@584361	326.3	298
152977at33208	Complete	Agalma_elegans@525856	464.5	509
153034at33208	Complete	Agalma_elegans@627629	767.9	503
157109at33208	Complete	Agalma_elegans@563706	255.9	222
158845at33208	Complete	Agalma_elegans@559887	371.8	444
158962at33208	Fragmented	Agalma_elegans@608500	569.5	324
162821at33208	Complete	Agalma_elegans@576604	635.6	434
164767at33208	Complete	Agalma_elegans@528545	698.1	570
166097at33208	Complete	Agalma_elegans@561883	798.2	491
168850at33208	Complete	Agalma_elegans@514760	799.7	528
168924at33208	Complete	Agalma_elegans@595289	363.6	258
169864at33208	Complete	Agalma_elegans@631262	487.8	630
172677at33208	Complete	Agalma_elegans@563589	207.1	289
176247at33208	Duplicated	Agalma_elegans@611102	359.9	325
176247at33208	Duplicated	Agalma_elegans@523821	356.8	323
177718at33208	Complete	Agalma_elegans@575296	501.8	396
177858at33208	Complete	Agalma_elegans@545662	865.0	585
178537at33208	Complete	Agalma_elegans@521694	951.7	465
179485at33208	Complete	Agalma_elegans@584320	513.9	538
180808at33208	Complete	Agalma_elegans@642360	707.3	451
182834at33208	Complete	Agalma_elegans@630082	584.8	504
184508at33208	Complete	Agalma_elegans@591154	543.6	538
184717at33208	Complete	Agalma_elegans@524701	934.7	518
186208at33208	Complete	Agalma_elegans@532100	1174.2	703
186707at33208	Complete	Agalma_elegans@629234	409.4	521
189414at33208	Complete	Agalma_elegans@534882	528.3	620
190726at33208	Complete	Agalma_elegans@580131	565.0	409
191938at33208	Complete	Agalma_elegans@584482	407.0	422
192250at33208	Complete	Agalma_elegans@579182	428.3	382
194754at33208	Complete	Agalma_elegans@573384	993.4	772
195986at33208	Complete	Agalma_elegans@626186	878.0	616
196950at33208	Complete	Agalma_elegans@647232	767.0	676
197549at33208	Complete	Agalma_elegans@576504	227.7	381
197652at33208	Complete	Agalma_elegans@521407	735.4	438
200997at33208	Fragmented	Agalma_elegans@602549	309.5	311
201397at33208	Complete	Agalma_elegans@516941	682.3	487
202545at33208	Complete	Agalma_elegans@539645	318.7	346
203128at33208	Complete	Agalma_elegans@599962	842.9	438
203698at33208	Complete	Agalma_elegans@605295	1022.1	792
205220at33208	Complete	Agalma_elegans@581105	948.6	643
206786at33208	Complete	Agalma_elegans@615503	515.4	382
206858at33208	Complete	Agalma_elegans@584021	584.2	508
207599at33208	Complete	Agalma_elegans@545296	462.4	376
208219at33208	Complete	Agalma_elegans@624078	440.2	446
210614at33208	Complete	Agalma_elegans@546888	152.3	419
212972at33208	Complete	Agalma_elegans@568053	657.9	541
214788at33208	Complete	Agalma_elegans@650807	625.2	525
215654at33208	Complete	Agalma_elegans@543212	543.1	404
216257at33208	Complete	Agalma_elegans@582191	322.6	331
216563at33208	Complete	Agalma_elegans@582428	263.3	276
218441at33208	Complete	Agalma_elegans@595140	222.7	247
219795at33208	Complete	Agalma_elegans@618323	348.8	374
219856at33208	Complete	Agalma_elegans@598335	657.8	394
222489at33208	Complete	Agalma_elegans@561158	668.2	360
223234at33208	Fragmented	Agalma_elegans@536755	197.7	201
226335at33208	Complete	Agalma_elegans@521451	550.9	364
226941at33208	Complete	Agalma_elegans@535929	613.2	395
227087at33208	Complete	Agalma_elegans@563733	875.0	743
227453at33208	Complete	Agalma_elegans@572873	505.0	436
227979at33208	Complete	Agalma_elegans@569477	922.9	597
231157at33208	Complete	Agalma_elegans@566443	396.5	313
231700at33208	Complete	Agalma_elegans@595236	262.8	390
234290at33208	Complete	Agalma_elegans@561721	638.6	471
235149at33208	Complete	Agalma_elegans@578532	376.1	473
235430at33208	Complete	Agalma_elegans@646103	377.3	285
235458at33208	Complete	Agalma_elegans@532016	376.1	343
239016at33208	Complete	Agalma_elegans@614840	363.0	388
239597at33208	Complete	Agalma_elegans@559171	502.5	525
240437at33208	Complete	Agalma_elegans@554207	435.0	250
244863at33208	Complete	Agalma_elegans@535828	548.8	557
245482at33208	Complete	Agalma_elegans@552895	567.9	406
245567at33208	Complete	Agalma_elegans@642158	453.1	437
246241at33208	Complete	Agalma_elegans@613500	538.3	371
247183at33208	Complete	Agalma_elegans@528823	852.3	596
247905at33208	Complete	Agalma_elegans@514510	308.9	377
249486at33208	Complete	Agalma_elegans@596267	410.9	275
251076at33208	Complete	Agalma_elegans@611662	542.6	314
251577at33208	Complete	Agalma_elegans@614058	241.0	193
255117at33208	Complete	Agalma_elegans@542149	851.3	537
255242at33208	Fragmented	Agalma_elegans@617266	239.2	156
255924at33208	Complete	Agalma_elegans@611672	655.2	484
257141at33208	Complete	Agalma_elegans@582552	245.6	229
257339at33208	Complete	Agalma_elegans@606507	241.5	290
260752at33208	Complete	Agalma_elegans@612554	432.6	489
261284at33208	Complete	Agalma_elegans@524646	639.8	658
261614at33208	Complete	Agalma_elegans@618383	613.8	384
262757at33208	Complete	Agalma_elegans@591331	298.0	291
266460at33208	Complete	Agalma_elegans@529302	597.1	458
266469at33208	Complete	Agalma_elegans@588898	145.7	186
266808at33208	Complete	Agalma_elegans@592131	456.3	338
267439at33208	Complete	Agalma_elegans@532416	715.0	419
268134at33208	Complete	Agalma_elegans@616745	279.2	201
268397at33208	Complete	Agalma_elegans@610730	865.2	616
270594at33208	Complete	Agalma_elegans@625999	669.8	546
271297at33208	Complete	Agalma_elegans@538313	316.1	231
271742at33208	Complete	Agalma_elegans@576653	566.1	429
272605at33208	Fragmented	Agalma_elegans@621667	332.6	258
273040at33208	Duplicated	Agalma_elegans@550704	179.3	129
273040at33208	Duplicated	Agalma_elegans@511673	177.4	113
273367at33208	Complete	Agalma_elegans@634420	142.7	211
273989at33208	Fragmented	Agalma_elegans@600137	364.9	350
274044at33208	Complete	Agalma_elegans@535881	521.8	561
274064at33208	Complete	Agalma_elegans@550710	423.0	270
274769at33208	Complete	Agalma_elegans@539975	535.3	383
274992at33208	Complete	Agalma_elegans@650565	633.0	356
277935at33208	Complete	Agalma_elegans@522880	541.6	562
278227at33208	Complete	Agalma_elegans@639630	416.0	373
279631at33208	Complete	Agalma_elegans@646351	578.9	552
279992at33208	Complete	Agalma_elegans@640469	326.7	309
280914at33208	Fragmented	Agalma_elegans@536108	168.8	273
281304at33208	Complete	Agalma_elegans@646312	270.0	313
281693at33208	Complete	Agalma_elegans@601619	809.3	584
283637at33208	Duplicated	Agalma_elegans@538824	651.8	363
283637at33208	Duplicated	Agalma_elegans@538825	619.1	337
284059at33208	Complete	Agalma_elegans@582847	341.1	273
285146at33208	Complete	Agalma_elegans@632232	426.1	337
285902at33208	Complete	Agalma_elegans@540174	422.9	408
285966at33208	Complete	Agalma_elegans@618123	258.6	253
286553at33208	Complete	Agalma_elegans@519611	280.9	279
289235at33208	Complete	Agalma_elegans@603298	184.8	232
289928at33208	Complete	Agalma_elegans@589022	184.9	154
291505at33208	Complete	Agalma_elegans@571296	538.5	444
291875at33208	Complete	Agalma_elegans@509797	378.5	355
295556at33208	Complete	Agalma_elegans@536735	307.8	505
295775at33208	Complete	Agalma_elegans@622717	275.7	263
300303at33208	Complete	Agalma_elegans@626591	314.3	314
301572at33208	Complete	Agalma_elegans@643862	567.8	386
302186at33208	Complete	Agalma_elegans@600431	144.2	336
302279at33208	Complete	Agalma_elegans@583884	508.5	303
302921at33208	Complete	Agalma_elegans@572360	83.1	187
303117at33208	Complete	Agalma_elegans@539961	351.1	360
