"sequence_id"	"GO_term"
4137726	GO:0019722;GO:0005509
4198296	GO:0005007;GO:0018108;GO:0098975;GO:0008543;GO:0030054;GO:0016021;GO:0008284;GO:0043235;GO:0031226;GO:0035230;GO:0005524;GO:0005777;GO:0005515;GO:0008270;GO:0048626;GO:0035169;GO:0035170;GO:0007500;GO:0061320;GO:0007523;GO:0007506;GO:0045887;GO:0007493;GO:0042065;GO:0007509;GO:1903977;GO:0007419;GO:1901890;GO:0008347;GO:0010002;GO:0007525;GO:0008354;GO:0048747;GO:0021782;GO:0022604;GO:0033674;GO:0007429;GO:0035154;GO:0007428;GO:0035202;GO:0007426;GO:0007431;GO:0007430;GO:0035147;GO:0007427;GO:0035149;GO:0048010;GO:0035215;GO:0050829;GO:0046847;GO:0007298;GO:0060438;GO:0045089;GO:0001745;GO:0007031;GO:0048640;GO:0010977;GO:0061387;GO:0030308;GO:0044419
4193211	GO:0004674;GO:0006468;GO:0005956;GO:0043204;GO:0031519;GO:0005829;GO:0097730;GO:0005524;GO:0030425;GO:0030424;GO:0018210;GO:0018209;GO:0051726;GO:0034608;GO:0016021;GO:0034606;GO:0005515;GO:0006356;GO:0006359;GO:0051983;GO:0016055;GO:0006974
4297081	GO:0016706;GO:0006278;GO:0016021;GO:0090305;GO:0003964;GO:0008168;GO:0055114;GO:0004519;GO:0003676;GO:0046872
4293503	GO:0008273;GO:0006874;GO:0005802;GO:0070588;GO:0035725;GO:0005623;GO:0097324;GO:0016021;GO:0071805;GO:0005615;GO:0030318;GO:0005262;GO:0098656;GO:0017147;GO:0048022;GO:0060070;GO:0090090
4150055	GO:0005853;GO:0003746;GO:0006414;GO:0005829;GO:0016021;GO:0005085;GO:0005509
4218183	GO:0036459;GO:0016579;GO:0090543;GO:0006511;GO:0036464;GO:0000790;GO:0008270;GO:0005654;GO:0042393;GO:1990841;GO:0000978;GO:0031647;GO:0016570;GO:0000278;GO:0006281;GO:0000122
4279949	GO:0003881;GO:0008654;GO:0005794;GO:0016021;GO:0071788;GO:0003676;GO:0060729;GO:0072576;GO:0005783;GO:0010842;GO:0060219;GO:0002088;GO:0046488;GO:0045017;GO:0034976;GO:0007420
4279944	GO:0006509;GO:0004222;GO:0097197;GO:0097038;GO:0007219;GO:0014069;GO:0098978;GO:0097060;GO:0019901;GO:0046930;GO:0042803;GO:0005798;GO:0042117;GO:0098696;GO:0009986;GO:0010820;GO:0030054;GO:0005794;GO:0042987;GO:0005634;GO:0090102;GO:0046931;GO:0034332;GO:0099173;GO:0008593;GO:0030307;GO:0034612;GO:0007162;GO:1901998;GO:1901342;GO:0008284;GO:0016485;GO:0001701;GO:0006468;GO:0007229
4109973	GO:0036459;GO:0016579;GO:0016021;GO:0006511
