gene_tree,S_child,S_new,change,treatment,change_direction,blast_hit,GO
8bf590d186f9f152e8ad425233a92b7b,32,K,2.6094663036229315,PalmatGasmat,Positive,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
8bf590d186f9f152e8ad425233a92b7b,N37,E,3.485039000374946,PalmatGasmat,Positive,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
8bf590d186f9f152e8ad425233a92b7b,32,K,3.293019763703081,PalmatGasmat,Positive,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
8bf590d186f9f152e8ad425233a92b7b,32,K,5.010190225074393,PalmatGasmat,Positive,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
643866497a0554dbf9d57028c53af567,35,L,5.029643585175454,PalmatGasmat,Positive,O75923|DYSF_HUMAN Dysferlin,GO:0007520;GO:0016021
50e0166fe077e9b75045fd72a901b705,26,J,2.4746132951033855,PalmatGasmat,Positive,"Q9BYG0|B3GN5_HUMAN Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",GO:0006486;GO:0000139;GO:0016757;GO:0016021
50e0166fe077e9b75045fd72a901b705,26,J,4.701011288678607,PalmatGasmat,Positive,"Q9BYG0|B3GN5_HUMAN Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",GO:0006486;GO:0000139;GO:0016757;GO:0016021
50e0166fe077e9b75045fd72a901b705,35,L,6.799902043072203,PalmatGasmat,Positive,"Q9BYG0|B3GN5_HUMAN Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",GO:0006486;GO:0000139;GO:0016757;GO:0016021
9e6d0a1d3f6d7be498b35d3dfed1c9e1,35,L,2.35585290310316,PalmatGasmat,Positive,Q6GN42|CTL4_XENLA Choline transporter-like protein 4,GO:0016021;GO:0022857;GO:0055085
1ff1b2211c216310478672808ff4a03e,26,J,2.5741043516818007,PalmatGasmat,Positive,Q6DFF6|KLH20_XENLA Kelch-like protein 20,GO:0031463;GO:0003779;GO:0016567;GO:0015629;GO:0042802;GO:0005737;GO:0016021
