"sequence_id"	"GO_term"
795544	GO:0046983;GO:0016021
806685	GO:0033263;GO:0007033;GO:0003779;GO:0030897;GO:0006886;GO:0031902;GO:0005765;GO:0044877;GO:0019905;GO:0097352;GO:0008333;GO:0055037;GO:0005769;GO:0032889;GO:0043025;GO:0035542;GO:0030424;GO:0005776;GO:0016197;GO:0030136;GO:0030123;GO:0005884;GO:0008057;GO:0034058;GO:0005681;GO:0046718;GO:0005829;GO:0016021;GO:0009267;GO:0000387
816593	GO:0061630;GO:0016567;GO:0005634;GO:0016874;GO:0003677
910291	GO:0097422;GO:1990126;GO:0000149;GO:0045022;GO:0017137;GO:0005769;GO:0005770;GO:0035544;GO:0042470;GO:0005085;GO:0035646;GO:0030133;GO:0043005;GO:0005764;GO:0050775;GO:0005829;GO:0048812;GO:0005886;GO:0016021
819615	GO:0004565;GO:0005975;GO:0005773;GO:0005794;GO:0042803;GO:0005615;GO:0051413;GO:1904016;GO:0016936;GO:0016021;GO:0044237;GO:0044282;GO:1901575
819612	GO:0004089;GO:0035335;GO:0016021;GO:0008270;GO:0004725;GO:0005509
950181	GO:0015074;GO:0008270;GO:0016021;GO:0005840;GO:0003676;GO:0030246;GO:0003735;GO:0006412
836527	GO:0016740;GO:0016021
789632	GO:0016021
963815	GO:0031490;GO:0000786;GO:0006334;GO:0046982;GO:0000790;GO:0010385;GO:0000182;GO:0000979;GO:1990841;GO:0030291;GO:0031491;GO:1904815;GO:0005721;GO:0033128;GO:0001740;GO:1901837;GO:0034184;GO:0019901;GO:0061086;GO:0051572;GO:0000793;GO:0071169;GO:0005730;GO:0005654;GO:0045618;GO:0070062;GO:0000784;GO:0007549;GO:0003950;GO:0016021;GO:0045815;GO:1902882;GO:1902750;GO:0045814;GO:0071901;GO:0019216;GO:0000122;GO:0097549;GO:0016458;GO:0061187;GO:1903226;GO:0048584;GO:0048585;GO:0007420;GO:0006471;GO:0006302
